Autor,Comunidade_ID,Gênero
Braz Araujo da Silva Junior,8,Homem
Darlan Eziquiel Felisberto da Silva,15,Homem
Nagib Matni,10,Homem
André Barreto,13,Homem
Yulle Borges,18,Mulher
Renata Hax Sander Reiser,16,Mulher
Francisco A. Rocha,13,Homem
Daniel Victor Teixeira Lima,2,Homem
Christiane N. Campos,18,Mulher
Giovanna Pavani,13,Mulher
Paulo Matias,11,Homem
Rafael Pasquini,6,Homem
Stefany Pinheiro,10,Mulher
Paulo A. L. Rego,5,Homem
Karla de Souza e Silva,0,Mulher
Matheus Paixão,17,Homem
Danielo G. Gomes,17,Homem
Rodrigo Dutra,2,Homem
Alexandre Souza,12,Homem
Matheus Diógenes Andrade,11,Homem
Francielli Freitas Moro,0,Mulher
Bruno Santos,10,Homem
Paulo Pinto,14,Homem
Derian Sobral,10,Homem
Yoshiharu Kohayakawa,11,Homem
Bruno Martini,12,Homem
Raquel Bravo,14,Mulher
Gabriel A. G. Sobral,18,Homem
José Wilson C. Pinto,14,Homem
Jean Moraes,10,Homem
Ednara Pereira,13,Mulher
Flavia Bonomo-Braberman,14,Mulher
Wanderson Lomenha,11,Homem
Suelen Laurindo,0,Mulher
Italo Dovera,13,Homem
Moysés S. Sampaio Jr.,14,Homem
Rita C. G. Berardi,7,Mulher
Ricardo B. Almeida,12,Homem
Geam Pfeiff,10,Homem
Juan Gutiérrez,11,Homem
Renata Reiser,8,Mulher
Thiago A. de Queiroz,18,Homem
Rodrigo Real,12,Homem
Francisco Gomes,17,Homem
Allan K. Barros,13,Homem
Raniely dos Anjos,3,Mulher
Antônio Pereira,2,Homem
Vinícius L. de Lima,18,Homem
Ariel Bentes,4,Homem
Letícia Gindri,3,Mulher
Paulo Eugênio,10,Homem
Mauricio Tavares,12,Homem
Rebeca Schroeder,7,Mulher
Maria Silva,10,Mulher
Elen Lobato,10,Mulher
Denis G. Fantinato,11,Homem
Fabiola Guerra Nakamura,4,Mulher
Kalil Ferreira,4,Homem
Mário César San Felice,11,Homem
Martín Gutiérrez,6,Homem
Beatriz Martins,15,Mulher
Karen da Silva Figueiredo,0,Mulher
Felipe Marques,12,Homem
Alex Barradas Filho,13,Homem
Carlos V. G. C. Lima,18,Homem
Valdenir Severino,2,Homem
Paulo R. Coelho,6,Homem
Tanara Lauschner,4,Mulher
Marcos Yukio Siraichi,14,Homem
Luan Lins,13,Homem
João Ladislau Lopes,12,Homem
Phablo F. S. Moura,18,Homem
Renan F. F. da Silva,18,Homem
Italo Santos,1,Homem
Giulio Iacobelli,11,Homem
Alan Rodrigues,17,Homem
Luis Rivero,13,Homem
Francisco da Ponte,10,Homem
Claudson Bornstein,14,Homem
Clause Piana,8,Mulher
Mariana Barros,4,Mulher
Luiza Castilho Ereno,0,Mulher
Matheus Mattos de Almeida Cruz,7,Homem
Mateus F. L. Souza,9,Homem
Mohamad Kassab,13,Homem
Christian Gomes,2,Homem
Vitor Tocci Ferreira de Luca,14,Homem
Andréa S. Bordin,3,Mulher
Evilasio Costa Junior,2,Homem
Vinícius Lima,18,Homem
Felipe Araújo,10,Homem
Francisco de Albuquerque Júnior,2,Homem
Luiz Alencar,0,Homem
Karla Susiane Pereira,4,Mulher
Joaquim Celestino Jr,10,Homem
Bruna Mariana F. de Souza,4,Mulher
Denis Rosário,10,Homem
Aíla Maciel,3,Mulher
Davi Santos,13,Homem
Fernando Magno Quintão Pereira,14,Homem
Nelson Maculan,4,Homem
Rafael Pocai,11,Homem
Sebastião Santos,13,Homem
Bruno Dias,4,Homem
Cláudio Geyer,12,Homem
Javier Marenco,4,Homem
Caroline Collange,14,Mulher
Bruno Monteiro,14,Homem
Adrya Araújo,4,Mulher
Ligia Cristina Battezzati,7,Mulher
Pamella Soares,17,Mulher
Júlio César Resende,2,Homem
Adilson Costa,12,Homem
Gustavo Y. S. Azevedo,13,Homem
Raquel M. Souza,14,Mulher
Leticia Santos Machado,0,Mulher
Pedro H. D. B. Hokama,11,Homem
Eliane Pozzebon,0,Mulher
Isabela Gasparini,7,Mulher
Júlio Araújo,18,Homem
Eunice Pereira dos Santos Nunes,0,Mulher
Simão Martin,8,Homem
Jean Araújo,13,Homem
João Porto de Albuquerque,13,Homem
Vinícius Carvalho Pereira,0,Homem
Guilherme de C. M. Gomes,14,Homem
Olga Goussevskaia,14,Mulher
Renato Balancieri,1,Homem
Matheus J. Ota,18,Homem
Karolayne Teixeira,0,Mulher
Augusto Neto,6,Homem
Ariádna Miranda,17,Mulher
Gabriel Galdino,10,Homem
Brenno Nascimento,13,Homem
Julio Araujo,18,Homem
Anderson Lemos,14,Homem
Fernanda Pires,0,Mulher
Jean Rangel,0,Homem
Anderson Cardoso,12,Homem
Renato Dilli,8,Homem
Thelma E. Colanzi,1,Mulher
Karla Pereira,0,Mulher
Sérgio Anders,4,Homem
Gilson Helfer,12,Homem
Leonardo Costa Reichow,16,Homem
Raquel Folz,4,Mulher
Levy Silva,15,Homem
Nícollas Silva,2,Homem
Jorge Goulart,14,Homem
Gabriela Felipa Souza,3,Mulher
Thaíse Costa,15,Mulher
Clevi Rapkiewicz,3,Mulher
Davi de Andrade,18,Homem
Sabrina Bourscheid Sassi,0,Mulher
José Neuman de Souza,17,Homem
Luis Chahua,11,Homem
Karina Wiechork,15,Mulher
Renan Cunha,12,Homem
Augusto Venâncio Neto,10,Homem
Vinicius Fernandes dos Santos,18,Homem
Alana Araujo,13,Mulher
Jayme L. Szwarcfiter,14,Homem
Weslley L. Caldas,17,Homem
Leo Natan Paschoal,1,Homem
Lívia S. Medeiros,14,Mulher
Gustavo Martins,4,Homem
Christiano Martino Otero Avila,8,Homem
Carmen Vera Scorsatto Brezolin,7,Mulher
Raimundo Neto,13,Homem
Igor Estrela,13,Homem
Jerffeson Souza,17,Homem
Isadora Garcia Ferrão,0,Mulher
Nani Castilho,3,Mulher
Fabiano de Souza Oliveira,14,Homem
Gabriel Paillard,17,Homem
Simone Gama,14,Mulher
Rodrigo Lamblet Mafort,4,Homem
Gabriel G. Silva,13,Homem
Brenner H. O. Rios,18,Homem
Rossana Andrade,2,Mulher
Reginaldo Santos,12,Homem
João Tavares,12,Homem
Jorge Barbosa,12,Homem
Arthur Felipe Herdt Schuelter,7,Homem
Anselmo Paiva,13,Homem
Simara Rocha,13,Mulher
Matheus S. Garofolo,13,Homem
Patrick Fernandes,8,Homem
Julis Figueira de Araújo,4,Homem
Rodrigo Santos,13,Homem
Larissa Pessoa,4,Mulher
Franklin Barcellos,12,Homem
Irandir Amorim,10,Homem
Diego Carvalho,2,Homem
Bernardo Amorim,14,Homem
Simone do Rocio Senger de Souza,1,Mulher
Ubiratan Bezerra,10,Homem
Andréia Antloga,10,Mulher
Matheus T. Mattioli,11,Homem
Josepher Silva,15,Homem
Lana Gomes,15,Mulher
Inaldo Costa,13,Homem
Kenny Domingues,18,Homem
Alexandre Rocha,10,Homem
João B. Bottentuit Junior,13,Homem
Juliana Saraiva,15,Mulher
José Cunha,15,Homem
Saori Costa,17,Mulher
Pedro Amorim,18,Homem
Fábio Protti,4,Homem
Alexandra Zimpeck,12,Mulher
Helder Oliveira,10,Homem
Edson OliveiraJr,1,Homem
Eduardo E. Mosca,13,Homem
Pablo Cecilio,2,Homem
Marcelino S. da Silva,2,Homem
Marcos Salvatierra,4,Homem
Antônio K. B. Fernandes,11,Homem
João Guilherme Martinez,4,Homem
Rita Cristina Galarraga Berardi,7,Mulher
Brendo Cavalcante,4,Homem
Diego Rangel Piranga Costa,18,Homem
Gabriel A. D. Miranda,13,Homem
Fabrizio Franzoia,0,Homem
Lilian Barros,8,Mulher
Leonardo João,12,Homem
Ketrin Diovana Alves Rodrigues Vargas,3,Mulher
Andrea Charão,15,Mulher
Adriana Nogueira,13,Mulher
Ana Barbosa,15,Mulher
Rafaela Oliveira Padilha,0,Mulher
Gil Andrade,15,Homem
Adrisson Rodrigues,0,Homem
Alice F. Finger,3,Mulher
Marlon L. S. Rodrigues,15,Homem
Ana Pernas,12,Mulher
Andre Du Bois,8,Homem
Placida Oliveira,8,Mulher
Silvia Amelia Bim,7,Mulher
Wellington Lemos,15,Homem
Yoshiko Wakabayashi,18,Mulher
Silvia A. Bim,0,Mulher
Flávio E. A. Horita,13,Homem
Yuri Silva de Oliveira,18,Homem
Rodolfo Oliveira,14,Homem
Diego Hoss,15,Homem
Luciana Bolan Frigo,0,Mulher
Heitor Werneck,2,Homem
Hugo M. Vicente,11,Homem
Fabian de Oliveira Lopes,4,Homem
Cristiane N. Targa,9,Mulher
Matheus Lemos,11,Homem
Giovanna Bettin,1,Mulher
Johnny Marques,8,Homem
Igor Dantas,15,Homem
Rodrigo Blanke Lambrecht,16,Homem
Iago Medeiros,10,Homem
Felipe Haertel,12,Homem
Hugo Santos,10,Homem
Ana Solórzano,15,Mulher
Felipe Silva,13,Homem
Ricardo Anchieta,13,Homem
Ana Rita Mazzini,8,Mulher
Eduardo Cerqueira,10,Homem
Bruno Pasqualotto Cavalar,11,Homem
Eduardo Monks,8,Homem
Danilo Vasconcelos,2,Homem
Jose Neto,15,Homem
Ediana da Silva de Souza,7,Mulher
Eduardo Abreu,12,Homem
Rodrigo P. dos Santos,13,Homem
Ronald Souza,11,Homem
Katia Salles,13,Mulher
Leonardo Marques,10,Homem
Isabelly Oliveira,4,Mulher
Rayane Castro,18,Mulher
Arthur Pratti Dadalto,11,Homem
Juan P. A. Lopes,14,Homem
Marcella Medeiros Siqueira C. de Almeida,15,Mulher
Lara Cadar Cunha,9,Mulher
Karen da Silva Figueiredo Medeiros Ribeiro,0,Mulher
Ernesto Trajano,1,Homem
Carlos Vinícius Gomes Costa Lima,18,Homem
Estephane Mendes,13,Mulher
Marcos Bedo,4,Homem
Patrícia Araújo de Oliveira,3,Mulher
Lourival Neto,15,Homem
Mauro R. C. Silva,18,Homem
Lucas Dias,12,Homem
Adenauer Correa Yamin,16,Homem
Julia Luiza da Conceição,4,Mulher
Lívia Salgado Medeiros,14,Mulher
João Bernado,0,Homem
Alexia Bagesteiro Camargo,3,Mulher
Vanilze Vaz,2,Mulher
