Autor,Comunidade_ID,Gênero
Ana Lúcia Machado,5,Mulher
Kenny Domingues,0,Homem
Diego Hoss,2,Homem
Karen da Silva Figueiredo,3,Mulher
Cassiano Schneider,12,Homem
Samuel Müller Forrati,6,Homem
Lívia Salgado Medeiros,4,Mulher
Amanda Rodrigues,10,Mulher
Juliana Magalhães,7,Mulher
Simone Gama,11,Mulher
Levy Silva,2,Homem
Bruno Dias,7,Homem
Brendo Cavalcante,7,Homem
Danielle Martins,4,Mulher
Leandro Carvalho,5,Homem
Alex Calado,5,Homem
Jailma da silva,10,Mulher
Marlon L. S. Rodrigues,12,Homem
Ediana da Silva de Souza,9,Mulher
Wellington Lemos,10,Homem
Adriano Yasuda,2,Homem
Adrya Araújo,5,Mulher
Ana Silva,0,Mulher
Thais G. Almeida,5,Mulher
Fabiola G. Nakamura,5,Mulher
Jailma J. da Silva,10,Mulher
José Cunha,10,Homem
Jean Rangel,3,Homem
Ivyna Rayany Santino Alves,2,Mulher
Rosiane Freitas,7,Mulher
Cassiano Andrei Dias da Silveira Schneider,12,Homem
Lia Martins,7,Mulher
Lourival Neto,12,Homem
Marcos Salvatierra,7,Homem
Vitor Tocci Ferreira de Luca,4,Homem
Olga Goussevskaia,0,Mulher
Vanessa Dantas,10,Mulher
Ingrid Santos,7,Mulher
Karina Wiechork,12,Mulher
Fabiano Oliveira,4,Homem
Leticia Fleig Dal Forno,1,Mulher
Rafael G. Trindade,12,Homem
Mariana Cristina Marino,1,Mulher
Alan D. A. Carneiro,8,Homem
Raquel Bravo,11,Mulher
Bruna Oenning Amador,1,Mulher
Guilherme de C. M. Gomes,4,Homem
Raquel M. Souza,4,Mulher
Marcela Pessoa,3,Mulher
Nabson Silva,5,Homem
Victoria P. S. Aires,5,Mulher
Waldomiro J. G. Seabra,5,Homem
Rita Cristina Galarraga Berardi,1,Mulher
Vinícius Carvalho Pereira,3,Homem
Claudson Bornstein,4,Homem
Augusto B. Corrêa,6,Homem
Simone Diniz Junqueira Barbosa,9,Mulher
Tanilson D. Santos,4,Homem
Leandro Schneider,12,Homem
Adrisson Rodrigues,3,Homem
Vinicius Fernandes dos Santos,0,Homem
Carlos V. G. C. Lima,0,Homem
Sérgio Anders,7,Homem
Luciana Bolan Frigo,3,Mulher
Paulo Pinto,4,Homem
Beatriz Martins,10,Mulher
Fernando Magno Quintão Pereira,0,Homem
Marcella Medeiros Siqueira C. de Almeida,2,Mulher
Vinicius F. Santos,0,Homem
Fábio Silva,11,Homem
Andrea Charão,12,Mulher
Marcos Bedo,8,Homem
Alan Diêgo Aurélio Carneiro,8,Homem
Marco Antoni,12,Homem
Francielli Freitas Moro,3,Mulher
Lara Morgado da Silva Santos,1,Mulher
Matheus Mattos de Almeida Cruz,1,Homem
Claudia Cappelli,11,Mulher
André G. Pereira,6,Homem
Karolayne Teixeira,3,Mulher
Milene Selbach Silveira,9,Mulher
Luiz Alencar,3,Homem
Jorge Goulart,4,Homem
Kalil Ferreira,5,Homem
Eliane Pozzebon,3,Mulher
João Guilherme Martinez,8,Homem
Anderson Stochero,6,Homem
Marcos Yukio Siraichi,0,Homem
Julis Figueira de Araújo,5,Homem
Kayalla Pontes,11,Mulher
Renata Figueiredo,10,Mulher
Tanara Lauschner,5,Mulher
Silvia A. Bim,3,Mulher
Nelson Maculan,7,Homem
Luciana S. Buriol,6,Mulher
Suliane de Oliveira Carneiro,3,Mulher
Bruno Masquio,4,Homem
Caroline Collange,0,Mulher
Jayme L. Szwarcfiter,4,Homem
Rodolfo Oliveira,11,Homem
Ana Barbosa,2,Mulher
Igor Dantas,12,Homem
Taynah Almeida,5,Mulher
Karen Ribeiro,3,Mulher
Bruna Mariana F. de Souza,5,Mulher
Jamille Silva,4,Mulher
Allen Ibiapina,0,Homem
Ana Shirley Ferreira Silva,0,Mulher
Roberta Suero,2,Mulher
Carlos Vinícius Gomes Costa Lima,0,Homem
Andrea Schwertner Charão,12,Mulher
Robson Melo,3,Homem
Jéssica Azevedo,3,Mulher
Rita C. G. Berardi,1,Mulher
Cristiane da Silva Stamberg,6,Mulher
Carmen Vera Scorsatto Brezolin,9,Mulher
Fábio Protti,8,Homem
Ana Luísa V. Solórzano,12,Mulher
Júlio Araújo,0,Homem
Toni I. Wickert,6,Homem
Fernando P. Barbosa,12,Homem
Mayara Dal Vesco Hoger,1,Mulher
Renata V. de Figueiredo,10,Mulher
Douglas Lima,12,Homem
Flavia Bonomo-Braberman,4,Mulher
Bruna Kopplin,6,Mulher
Ueverton Souza,11,Homem
Luiz Satoru Ochi,4,Homem
Valmir C. Barbosa,4,Homem
Priscila Camargo,8,Mulher
Fabrizio Franzoia,3,Homem
Eduardo F. Nakamura,5,Homem
Leticia Santos Machado,3,Mulher
Juliana Saraiva,10,Mulher
Rodolfo A. de Oliveira,8,Homem
Regiane Macuch,1,Mulher
Uéverton S. Souza,4,Homem
Marco Cristo,5,Homem
Paulo E. D. Pinto,4,Homem
Thaíse Costa,10,Mulher
Karla Pereira,3,Mulher
Julia Luiza da Conceição,7,Mulher
Raquel Folz,7,Mulher
Ana Solórzano,12,Mulher
Karen da Silva Figueiredo Medeiros Ribeiro,3,Mulher
Larissa Pessoa,7,Mulher
João Gustavo Kienen,7,Homem
Matheus Guedes,0,Homem
Giancarlo F. Roberto,4,Homem
Carla Leitão,11,Mulher
Jeovana Leão,5,Mulher
Sheyla Medeiros,10,Mulher
Cristiano Maciel,3,Homem
Cristiane Stamberg,6,Mulher
Luciana Salgado,11,Mulher
Iago C. Corrêa,12,Homem
Luidi Simonetti,4,Homem
Igor M. Coelho,4,Homem
Josepher Silva,2,Homem
Ludymila Lobo,5,Mulher
Ricardo Souza,5,Homem
Fabiano de S. Oliveira,4,Homem
Bruno Monteiro,0,Homem
Êrica Peters do Carmo,9,Mulher
Karina Mochetti,11,Mulher
Gabriela C. M. de Souza,10,Mulher
Alfredo Candia-Véjar,4,Homem
