Autor,Comunidade_ID,Gênero
Ana Sofia S. Silvestre,5,Mulher
Inaldo Costa,7,Homem
Patrícia Endo,10,Mulher
Luís Felipe Santos,4,Homem
Gabriel Galdino,13,Homem
Nathasha Pinto,7,Mulher
Klaus Wehmuth,8,Homem
Raimundo Neto,7,Homem
Maria Eduarda Namba,2,Mulher
Christian Gomes,0,Homem
Vitória Silvestre,12,Mulher
Ivyna Rayany Santino Alves,11,Mulher
Ana Barbosa,11,Mulher
Pablo Cecilio,0,Homem
Rafael Gomes,7,Mulher
Carina Oliveira,11,Mulher
Vicente Carvalho,6,Homem
Mateus F. L. Souza,3,Homem
Eduarda Chagas,7,Mulher
Charles Freitas,1,Homem
Felipe Rocha,4,Homem
Felipe Araújo,13,Homem
Thiago Valentim,6,Homem
Tais A. Oliveira,5,Mulher
Valdir Carvalho,6,Homem
Luiz Felipe Chaves,0,Homem
Aleteia P. F. Araujo,5,Mulher
Simara Rocha,7,Mulher
Rossana Andrade,0,Mulher
Samuel de Oliveira Ribeiro,10,Homem
Luísa M. Laboissiere,3,Mulher
Barbara Duarte,3,Mulher
Arthur Passos,7,Homem
Maria Silva,13,Mulher
Luis Araújo,11,Homem
Wilson Medeiros,6,Homem
Igor Moraes,0,Homem
Eric Hans M. da Silva,5,Homem
Stefany Pinheiro,13,Mulher
Ana Luiza C. Lorens,3,Mulher
Karina Wiechork,14,Mulher
Júlio Mendonça,6,Homem
Gabriel Alves,6,Homem
Rodrigo Rocha,15,Homem
Ana Flávia C. Moura,3,Mulher
Daniel Saraiva,11,Homem
Artur Ziviani,8,Homem
Emanuel Oliveira da Silva,6,Homem
Jéssica Mendes,7,Mulher
Helder M. N. S. Oliveira,13,Homem
Rafael Ferreira Mello,6,Homem
Francisco Airton Silva,10,Homem
Cláudio T. Cristino,6,Homem
Gustavo Rodrigues,1,Homem
Sebastião Santos,7,Homem
Allan K. Barros,7,Homem
Joaquim Celestino Jr,13,Homem
Bruna Bazaluk,5,Mulher
Rodrigo Pessoa Medeiros,6,Homem
Jean Araujo,15,Homem
Rodrigo Pereira dos Santos,16,Homem
Anisio Lacerda,3,Homem
Glauber Dias Gonçalves,10,Homem
Bárbara D. Duarte,3,Mulher
João Laterza,5,Homem
Javier Baliosian,9,Homem
Roberto A. Bittencourt,11,Homem
Marcos Gonçalves,0,Homem
Cassiano Schneider,14,Homem
Josepher Silva,11,Homem
Mirella M. Moro,3,Mulher
Laura Santana,2,Mulher
André Barreto,7,Homem
Flávia Maria Santoro,3,Mulher
Francisco Henrique Ferreira,16,Homem
Paulo Henrique Rocha,10,Homem
Josué de Almeida Resende,16,Homem
Frederico O. Sales,10,Homem
Kennedy Nunes,7,Homem
Paulo Roberto Filho,8,Homem
Sheyla Medeiros,14,Mulher
Amanda Saccol,5,Mulher
Marcio Imamura,16,Homem
Tiago do C. Nogueira,13,Homem
Kailany Ketulhe,5,Mulher
Leonardo Moreira,12,Homem
Heitor Werneck,0,Homem
Irandir Amorim,13,Homem
Alan Fernandes,4,Homem
Marcella Medeiros Siqueira C. de Almeida,11,Mulher
Marlon L. S. Rodrigues,14,Homem
Antônio Pinto,7,Homem
Nícollas Silva,0,Homem
Janaina Gomide,2,Mulher
Pedro Neto,15,Homem
Carina T. de Oliveira,11,Mulher
Jorge Macêdo,6,Homem
Miguel A. Bicudo,8,Homem
Gabriel Reis,13,Homem
Estephane Mendes,7,Mulher
Daniel Victor Teixeira Lima,0,Homem
Geber Lisboa Ramalho,6,Homem
Diego Carvalho,0,Homem
Jamilson Dantas,6,Homem
Julia Godinho,2,Mulher
Mateus Lambranho Ramos,16,Homem
Yan Andrade,0,Homem
Alice Borges,5,Mulher
Cristiane Silva,11,Mulher
Rebeca C. Motta,16,Mulher
Geam Pfeiff,13,Homem
João B. Bottentuit Junior,7,Homem
Alison da Silva,6,Homem
Rodrigo S. Miani,9,Homem
Gil Andrade,11,Homem
Francisco Campos,2,Homem
Wellington Lobato,13,Homem
Maristela Holanda,5,Mulher
Ageu Pacheco,8,Homem
Hugo Santos,13,Homem
Juliana Araripe,1,Mulher
Cristiano da S. Cintra,11,Homem
Felipe Oliveira,15,Homem
Eduardo E. Mosca,10,Homem
Felipe Assis,8,Homem
Samuel Souza Wagner,6,Homem
Maria Tostes,13,Mulher
Gilmar Moraes,13,Homem
Gabriel SantClair,2,Homem
Helder Oliveira,13,Homem
Aluízio Rocha Neto,4,Homem
Davi Santos,7,Homem
Antônio Pereira,0,Homem
Gabriel G. Silva,10,Homem
Fernando P. Barbosa,14,Homem
Aleteia Araujo,5,Mulher
Jonice Oliveira,3,Mulher
Derian Alencar,13,Homem
Jussara Almeida,10,Mulher
Thayanna Klysnney Moreira Nunes,5,Mulher
Gabriel A. D. Miranda,7,Homem
Matheus S. Garofolo,7,Homem
Carla Koike,5,Mulher
Eduardo Nogueira,13,Homem
Victor M. G. Chaves,16,Homem
Ariádna Miranda,12,Mulher
Cristiane N. Targa,3,Mulher
Marcella D. Ferreira,3,Mulher
Valdenir Severino,0,Homem
Juliana Rosa,0,Mulher
Igor Estrela,7,Homem
Ana Moura,3,Mulher
Reinaldo B. Braga,11,Homem
Victor Alves,5,Homem
Bianca P. Castro,5,Mulher
Milena Estanislau,2,Mulher
Mariana Pinheiro,16,Mulher
Thamires P. Silva,5,Mulher
Breno Machado,8,Homem
Daniel Menasch,8,Homem
João Ismael Pinheiro,8,Homem
Rafael Pasquini,9,Homem
Ana Luísa S. Milson,3,Mulher
Matheus Bessa,7,Homem
Indra Matsiendra C. D. Ribeiro,3,Mulher
Tabatta Martins,2,Mulher
Paulo Eugênio,13,Homem
Sandino Lamarca,15,Homem
Yuri Guedes ,2,Homem
Elisa Rocha,2,Mulher
Alana Araujo,7,Mulher
Carlos A. Silva,7,Homem
Laécio Rodrigues,10,Homem
Gabriel Cardoso,7,Homem
Ariel Teles,7,Homem
Jefferson Nogueira,2,Homem
Juliana Saraiva,14,Mulher
Cabral Lima,8,Homem
Eduardo Silva,5,Homem
Bruna Soares,4,Mulher
Alex B. Vieira,10,Homem
Igor Gonçalves,10,Homem
Walkir Brito,8,Homem
Iure Fé,10,Homem
Roberta Suero,11,Mulher
Raphael Saraiva,12,Homem
André Solino,4,Homem
Thais Batista,4,Mulher
Derian Sobral,13,Homem
Daniel Pinto,7,Homem
Carla Castanho,5,Mulher
Ana Solórzano,14,Mulher
Lucas Vinícius S. dos Santos,10,Homem
Alice Lima,5,Mulher
Bárbara Beato Ribeiro,16,Mulher
John Lucas R. P. de Sousa,13,Homem
Felipe Abrahão,8,Homem
Diego Hoss,11,Homem
Erika Rosas,9,Mulher
Denise Siloto,2,Mulher
Wagner Braga Bezerra,12,Homem
Luciana Chueri,16,Mulher
Nagib Matni,13,Homem
Francisco Gomes,12,Homem
Adriano Pereira,0,Homem
Jose Neto,14,Homem
Allysson Allex Araújo,12,Homem
Matheus dos S. Silva,13,Homem
Alexandre Aragão,7,Homem
Levy Silva,11,Homem
Sofia M. B. Machado,16,Mulher
Francisco da Ponte,13,Homem
Arlindo da Conceição,7,Homem
Jerffeson Souza,12,Homem
Matheus Torquato,10,Homem
Bianca Santana,11,Mulher
Guilherme Melquíades,15,Homem
Evilasio Costa Junior,0,Homem
Thiago Silva,0,Homem
Sérgio M. B. Lima,5,Homem
Fernanda de Sousa,5,Mulher
Erica Gallindo,11,Mulher
Renata Muniz Prado,3,Mulher
Izabela A. Andrade,3,Mulher
Saori Costa,12,Mulher
Danilo Vasconcelos,0,Homem
Luan Lins,15,Homem
Mércia Ferreira,11,Mulher
Lucas G. Lattari,5,Homem
Levi da Silva,12,Homem
Adriana Nogueira,7,Mulher
Fábio Araújo,13,Homem
Maria Eduarda Santos,5,Mulher
Tercio Sousa,7,Homem
Aleteia Patricia Araujo,5,Mulher
Wellington Martins,14,Homem
Alan Veloso,13,Homem
Geovane F. Piccinin,3,Homem
Lourival Neto,14,Homem
Bruno Matias,4,Homem
Leandro A. Villas,13,Homem
Marcelo Mandelli,5,Homem
Augusto Venâncio Neto,13,Homem
Jefferson Simões,8,Homem
Renata Figueiredo,14,Mulher
João Pinheiro,8,Homem
Jean Moraes,13,Homem
Taciana Pontual Falcão,6,Mulher
Pedro B. Pio,5,Homem
Anderson Afonso,16,Homem
Leonardo Rocha,0,Homem
Júlia Oliveira,2,Mulher
